net,length_um
_08484_,1620.04
_08312_,1552.75
_08305_,1255.04
net131,1254.45
net143,1251.31
net189,1212.16
net157,1203.51
_08109_,1134.88
net146,1118.19
net134,1102
_08319_,1099.29
net159,1033.19
net316,1032.405
net282,1013.73
_08470_,1007.13
net291,990.64
net168,986.26
net272,984.42
_08463_,980.29
_09200_,953.38
_08326_,948.75
net313,941.6
net170,940.6
net270,934.32
net239,931.23
net286,924.27
net268,922.06
net152,919.345
net54,918.195
_08102_,914.7
_05963_,912.42
net42,911.64
net173,910.63
net45,900.58
net136,896.99
net37,895.49
net155,889.77
net281,884.59
net132,883.22
net240,882.49
net275,880.77
net39,876.45
net181,873.29
net52,866.52
net83,860.48
net276,857.43
net78,856.5
net162,852.55
_10593_,846.49
net49,841.19
net302,840.62
net289,839.53
_08477_,834.12
net296,830.32
net178,828.74
net318,828.68
net86,825.11
net36,815.27
net94,814.34
_10858_,813.26
net167,810.81
_06208_,803.91
_02133_,800.69
net161,798.49
_09265_,797.39
net280,796.84
_12420_,796.45
clknet_0_clk,794.45
net142,790.4
net50,785.09
net312,783.73
_08298_,781.48
_05964_,780.46
net185,777.2
net26,771.29
net321,769.77
net303,767.27
_08118_,766.165
net81,764.92
net194,764.41
net64,763.25
net51,760.94
_08847_,760.58
net169,758.37
net309,756.67
net133,755.28
_09118_,752.69
_07732_,750.505
net191,748.76
net261,747.98
net68,747.76
net46,743.26
_08616_,742.77
net260,742.51
_09103_,735.83
net141,732.64
net221,726.5
net265,721.12
net137,717.525
clknet_2_1_0_clk,713.54
net192,713.35
_08674_,712.51
clknet_2_3_0_clk,711.955
net305,711.5
net47,707.16
net12,705.23
net298,701.04
clknet_2_0_0_clk,698.74
net304,698.43
net140,696.99
net56,693.54
_09089_,689.37
net74,688.23
net67,687.11
_09223_,685.935
_09434_,685.33
net147,683.82
net258,680.18
clk,680.1
net278,679.53
net322,678.18
_08737_,677.87
net306,673.79
_05633_,673.225
net43,672.35
_10676_,671.62
_12160_,671.36
_09956_,666.93
net2,666.91
_06767_,666.46
net144,665.47
_08249_,662.26
net293,661.67
_09344_,661.48
net48,659.7
mem_rdata_q\[20\],658.185
net238,657.1
net176,657
_10723_,656.16
net148,655.62
net166,655.06
_08122_,654.88
_12409_,651.75
net145,648.24
net164,647.46
net180,645.22
_14635_,644.615
_12951_,643.925
net184,639.37
net40,638.87
net29,636.5
_12161_,635.9
_10365_,634.32
_08120_,633.26
_08824_,632.09
_12771_,631.23
net394,630.78
net317,623.52
_10663_,619.94
_09656_,618.96
net235,618.55
net75,618.48
net129,616.88
net32,616.14
net30,612.97
net23,609.82
net284,609.445
net22,600.67
net55,599.64
_02252_,599
net66,598.36
net165,597.36
net253,597.36
net13,597.12
net254,596.34
_08087_,594.96
net300,593.28
net61,593.1
net107,592.78
net271,592.06
net266,590.48
_09313_,586.41
_13431_,586.29
_09257_,585.445
_10630_,584.275
_08251_,584.06
net96,582.62
clknet_2_2_0_clk,582.4
mem_rdata_q\[29\],579.215
net80,576.87
_08130_,576.2
instr_getq,576.16
net35,575.65
_12608_,574.87
_08239_,574.66
_09067_,573.9
